edge_id,from_node_id,to_node_id,from_grid_id,to_grid_id,distance_m,azimuth_deg,orientation_deg,direction_bin,interval_fit,from_shuseki_count,to_shuseki_count
E476,G91504,G103903,91504,103903,42.42640687119285,315,135,135,0.5029437251522859,1,2
E477,G91504,G107709,91504,107709,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,1
E478,G91504,G107904,91504,107904,40,270,90,90,0.6,1,2
E479,G91505,G92175,91505,92175,20,0,0,0,0.6,1,1
E480,G91505,G92178,91505,92178,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,2
E481,G91505,G93243,91505,93243,20,270,90,90,0.6,1,1
E482,G91505,G93531,91505,93531,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E483,G91505,G93568,91505,93568,20,270,90,90,0.6,1,1
E484,G91505,G94168,91505,94168,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E485,G91505,G94193,91505,94193,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E486,G91505,G95127,91505,95127,28.284271247461902,315,135,135,0.9313708498984761,1,1
E487,G91505,G95140,91505,95140,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E488,G91505,G95198,91505,95198,30,270,90,90,1,1,1
E489,G91505,G95448,91505,95448,20,270,90,90,0.6,1,1
E490,G91505,G95463,91505,95463,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E491,G91505,G95493,91505,95493,31.622776601683793,288.434948822922,108.43494882292202,90,0.9350889359326483,1,1
E492,G91505,G95494,91505,95494,30,270,90,90,1,1,1
E493,G91505,G97666,91505,97666,42.42640687119285,315,135,135,0.5029437251522859,1,2
E494,G91505,G98057,91505,98057,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E495,G91505,G98729,91505,98729,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E496,G91505,G99269,91505,99269,42.42640687119285,315,135,135,0.5029437251522859,1,1
E497,G91505,G103389,91505,103389,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,1,1
E498,G91529,G93243,91529,93243,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E499,G91529,G93531,91529,93531,20,270,90,90,0.6,1,1
E500,G91529,G93568,91529,93568,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E501,G91529,G94168,91529,94168,20,270,90,90,0.6,1,1
E502,G91529,G95127,91529,95127,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E503,G91529,G95140,91529,95140,20,270,90,90,0.6,1,1
E504,G91529,G95198,91529,95198,31.622776601683793,251.56505117707798,71.56505117707798,67.5,0.9350889359326483,1,1
E505,G91529,G95448,91529,95448,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E506,G91529,G95463,91529,95463,20,270,90,90,0.6,1,1
E507,G91529,G95493,91529,95493,30,270,90,90,1,1,1
E508,G91529,G95494,91529,95494,31.622776601683793,251.56505117707798,71.56505117707798,67.5,0.9350889359326483,1,1
E509,G91529,G97666,91529,97666,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,2
E510,G91529,G98057,91529,98057,28.284271247461902,315,135,135,0.9313708498984761,1,1
E511,G91529,G98729,91529,98729,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E512,G91529,G98919,91529,98919,42.42640687119285,315,135,135,0.5029437251522859,1,1
E513,G91529,G99269,91529,99269,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,1
E514,G91529,G99531,91529,99531,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E515,G91529,G103903,91529,103903,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,2
E516,G91654,G95198,91654,95198,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E517,G91654,G95493,91654,95493,20,270,90,90,0.6,1,1
E518,G91654,G95494,91654,95494,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E519,G91654,G97666,91654,97666,28.284271247461902,315,135,135,0.9313708498984761,1,2
E520,G91654,G98057,91654,98057,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E521,G91654,G98729,91654,98729,31.622776601683793,341.565051177078,161.56505117707798,157.5,0.9350889359326483,1,1
E522,G91654,G98919,91654,98919,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E523,G91654,G99269,91654,99269,28.284271247461902,315,135,135,0.9313708498984761,1,1
E524,G91654,G99283,91654,99283,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E525,G91654,G99531,91654,99531,41.23105625617661,345.96375653207355,165.96375653207355,157.5,0.5507577497529357,1,1
E526,G91654,G100485,91654,100485,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E527,G91654,G103389,91654,103389,42.42640687119285,225,45,45,0.5029437251522859,1,1
E528,G91654,G103663,91654,103663,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E529,G91654,G103903,91654,103903,36.05551275463989,303.69006752597977,123.69006752597977,112.5,0.75777948981440435,1,2
E530,G91654,G103914,91654,103914,42.42640687119285,315,135,135,0.5029437251522859,1,1
E531,G91654,G103941,91654,103941,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,1,1
E532,G91654,G107709,91654,107709,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,1,1
E533,G91654,G107904,91654,107904,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,2
E534,G91841,G92175,91841,92175,22.360679774997898,26.56505117707799,26.56505117707799,22.5,0.6944271909999159,1,1
E535,G91841,G92178,91841,92178,20,0,0,0,0.6,1,2
E536,G91841,G94193,91841,94193,20,0,0,0,0.6,1,1
E537,G91841,G95127,91841,95127,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E538,G91841,G95198,91841,95198,20,270,90,90,0.6,1,1
E539,G91841,G95493,91841,95493,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E540,G91841,G95494,91841,95494,20,270,90,90,0.6,1,1
E541,G91841,G97666,91841,97666,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,2
E542,G91841,G98057,91841,98057,31.622776601683793,341.565051177078,161.56505117707798,157.5,0.9350889359326483,1,1
E543,G91841,G98729,91841,98729,41.23105625617661,345.96375653207355,165.96375653207355,157.5,0.5507577497529357,1,1
E544,G91841,G98919,91841,98919,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E545,G91841,G99269,91841,99269,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E546,G91841,G103388,91841,103388,42.42640687119285,225,45,45,0.5029437251522859,1,1
E547,G91841,G103389,91841,103389,36.05551275463989,236.30993247402023,56.30993247402023,45,0.75777948981440435,1,1
E548,G91841,G103411,91841,103411,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,1,1
E549,G91841,G103903,91841,103903,42.42640687119285,315,135,135,0.5029437251522859,1,2
E550,G91841,G107709,91841,107709,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,1
E551,G91841,G107904,91841,107904,40,270,90,90,0.6,1,2
E552,G91871,G95198,91871,95198,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E553,G91871,G95493,91871,95493,20,270,90,90,0.6,1,1
E554,G91871,G95494,91871,95494,22.360679774997898,243.43494882292202,63.434948822922024,45,0.6944271909999159,1,1
E555,G91871,G97666,91871,97666,28.284271247461902,315,135,135,0.9313708498984761,1,2
