node_id,grid_id,shuseki_count,dispersed_node_degree,mean_edge_distance_m,dominant_direction_bin,dominant_direction_share,dispersed_node_support,dispersed_node_flag,dense_node_flag
G81771,81771,4,8,27.092429113552658,22.5,0.375,0.48567957171623527,0,1
G75051,75051,3,7,22.532427192493355,112.5,0.42857142857142855,0.47921997242129566,0,1
G65822,65822,3,2,21.18033988749895,0,0.5,0.47360679774997894,0,1
G88454,88454,3,6,21.573786516665265,22.5,0.3333333333333333,0.4314757303333053,0,1
G88462,88462,3,6,21.573786516665265,22.5,0.3333333333333333,0.4314757303333053,0,1
G56483,56483,1,0,NA,NA,0,0.2,0,0
G63566,63566,1,0,NA,NA,0,0.2,0,0
G64025,64025,1,0,NA,NA,0,0.2,0,0
G65379,65379,1,0,NA,NA,0,0.2,0,0
G65821,65821,1,0,NA,NA,0,0.2,0,0
G65839,65839,1,0,NA,NA,0,0.2,0,0
G67668,67668,1,0,NA,NA,0,0.2,0,0
G68234,68234,1,0,NA,NA,0,0.2,0,0
G68685,68685,1,0,NA,NA,0,0.2,0,0
G69655,69655,1,0,NA,NA,0,0.2,0,0
G69677,69677,1,0,NA,NA,0,0.2,0,0
G71200,71200,1,0,NA,NA,0,0.2,0,0
G73102,73102,1,0,NA,NA,0,0.2,0,0
G73613,73613,1,0,NA,NA,0,0.2,0,0
G88082,88082,1,0,NA,NA,0,0.2,0,0
G88125,88125,1,0,NA,NA,0,0.2,0,0
G88427,88427,1,0,NA,NA,0,0.2,0,0
G88445,88445,1,0,NA,NA,0,0.2,0,0
G88449,88449,1,0,NA,NA,0,0.2,0,0
G89146,89146,1,0,NA,NA,0,0.2,0,0
G89147,89147,1,0,NA,NA,0,0.2,0,0
G89153,89153,1,0,NA,NA,0,0.2,0,0
G89491,89491,1,0,NA,NA,0,0.2,0,0
G89493,89493,1,0,NA,NA,0,0.2,0,0
G89520,89520,1,0,NA,NA,0,0.2,0,0
G89817,89817,1,0,NA,NA,0,0.2,0,0
G89832,89832,1,0,NA,NA,0,0.2,0,0
G89840,89840,1,0,NA,NA,0,0.2,0,0
G89846,89846,1,0,NA,NA,0,0.2,0,0
G89848,89848,1,0,NA,NA,0,0.2,0,0
G90179,90179,1,0,NA,NA,0,0.2,0,0
G90196,90196,1,0,NA,NA,0,0.2,0,0
G90197,90197,1,0,NA,NA,0,0.2,0,0
G90522,90522,1,0,NA,NA,0,0.2,0,0
G90528,90528,1,0,NA,NA,0,0.2,0,0
G101329,101329,1,0,NA,NA,0,0.2,0,0
G105153,105153,1,0,NA,NA,0,0.2,0,0
G64457,64457,2,0,NA,NA,0,0.1,0,1
G70178,70178,2,0,NA,NA,0,0.1,0,1
G89149,89149,2,0,NA,NA,0,0.1,0,1
G89814,89814,2,0,NA,NA,0,0.1,0,1
G104690,104690,2,0,NA,NA,0,0.1,0,1
G63565,63565,4,0,NA,NA,0,0,0,1
G88450,88450,3,0,NA,NA,0,0,0,1
