group_id_1,group_id_2,n_shuseki_1,n_shuseki_2,interim_group_type_1,interim_group_type_2,centroid_distance_m,both_linkable_size,at_least_one_dense,centroid_preselect,pair_size_score_pre,evaluate_pair,evaluate_order,detailed_evaluation_selected,pair_generation_method
C2,N143,15,1,dense_candidate,small_or_isolated_candidate,395.1073364520081,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N119,15,1,dense_candidate,small_or_isolated_candidate,395.5916601001881,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N93,16,1,dense_candidate,small_or_isolated_candidate,397.0620150709377,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N119,73,1,dense_candidate,small_or_isolated_candidate,399.5812078577031,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N305,73,1,dense_candidate,small_or_isolated_candidate,399.9641524713585,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N141,32,1,dense_candidate,small_or_isolated_candidate,400.0284278250799,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N140,32,1,dense_candidate,small_or_isolated_candidate,403.5174162420737,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N300,73,1,dense_candidate,small_or_isolated_candidate,407.3811474543863,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C5,C6,5,16,intermediate_candidate,dense_candidate,410.1785233540582,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N150,16,1,dense_candidate,small_or_isolated_candidate,410.9261011983193,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N148,73,1,dense_candidate,small_or_isolated_candidate,411.16180235867847,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N142,15,1,dense_candidate,small_or_isolated_candidate,413.2078792749156,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N126,15,1,dense_candidate,small_or_isolated_candidate,414.7206605888157,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N48,20,1,dense_candidate,small_or_isolated_candidate,415.41686712096936,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
