macro_cluster_id,micro_group_ids,n_micro_groups,n_dwellings,n_dense_micro_groups,n_intermediate_micro_groups,n_small_micro_groups,macro_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,selected_d_adj_safe_m,macro_hull_buffer_m,macro_link_max_boundary_distance_m,macro_nearest_dwelling_link_m,macro_corridor_width_m
M116,N86,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M117,N87,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M118,N88,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M119,N89,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M12,N126,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M13,N150,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M14,N154,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M15,N155,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M16,N156,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M17,N158,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M18,N173,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M19,N174,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M2,C10;C11;C12;C13;C14,5,28,4,1,0,macro_settlement_complex_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M20,N179,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M21,N183,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M22,N184,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M23,N185,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M24,N186,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M25,N200,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M26,N206,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
